PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Wandelt, Sebastian; Sun, Xiaoqian; Zhang, Jun								Evolution of domestic airport networks: a review and comparative analysis								TRANSPORTMETRICA B-TRANSPORT DYNAMICS				7	1			1	17		10.1080/21680566.2017.1301274					DEC 23 2019	2019	Previous studies on airport networks are strongly bounded time-wise or only conducted for single networks at distinct levels of abstraction and for distinct topological features. Here, we review and compare the evolution of domestic airport networks (DANs) for Australia, Brazil, Canada, China, India, Russia, US and Europe during the period 2002-2013. This is the first study on a consistent global dataset and allows for direct comparisons of network features. The air passenger traffic is tremendously increasing in all eight networks, with the largest number of passengers in US, followed by Europe and China. Degree distributions can often be best fitted with a truncated power-law (e.g. Brazil and US) or log-normal (e.g. Australia and Canada). While all eight networks clearly exhibit small-world properties, the average shortest path length is between 2.1 (China/Russia) and 4.0 (Canada). Our study sets a baseline for understanding the topology and evolution of DANs.									3	0	0	0	0	3			2168-0566	2168-0582		WOS:000462187900001		
J	Wang, Xianjia; Lv, Shaojie								The roles of particle swarm intelligence in the prisoner's dilemma based on continuous and mixed strategy systems on scale-free networks								APPLIED MATHEMATICS AND COMPUTATION				355				213	220		10.1016/j.amc.2019.02.048					AUG 15 2019	2019	Understanding and explaining the widespread emergence of cooperation in social dilemmas remains a great challenge. Previous researches have shown that complex networks with high heterogeneity especially scale-free networks can remarkably facilitate cooperation in the case of accumulated payoff, but fail in the case of average payoff. In this paper, we investigate the role of particle swarm optimization (PSO) strategy update rules in the evolution of cooperation in the prisoner's dilemma (PD) on scale-free networks, when each player obtains the average payoff normalized with its degree. In the meantime, considering whether goods and resources are divisible, PSO strategy update rules based on continuous and mixed strategy systems are proposed respectively. The simulation results show that the PSO strategy update rules can promote cooperation in the continuous strategy system, but lead to the severe collapse of cooperation in the mixed strategy system. The nodes with low or medium degree play an important role to facilitate cooperative behaviors. (C) 2019 Elsevier Inc. All rights reserved.									0	0	0	0	0	0			0096-3003	1873-5649		WOS:000464930500017		
J	Jia, Junbo; Jin, Zhen; Fu, Xinchu				QIAN, LIU/S-1353-2019				Epidemic spread in directed interconnected networks								COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION				75				1	13		10.1016/j.cnsns.2019.03.025					AUG 2019	2019	In the real world, many complex systems interact with other systems. Besides, the spread of disease in intra-systems or inter-systems is often not random, but with direction. Hence, in this paper, we build an epidemic model based on a directed interconnected network, which can be considered as the generalization of undirected networks and bipartite networks. By using the mean-field approach, we establish the Susceptible-InfectiousSusceptible model on this network, and then analyze the model theoretically, and obtain the basic reproduction number, which is also the generalization of the critical number corresponding to undirected or bipartite networks. We explain how coupling can increase disease infection, and this phenomenon may even lead to disease outbreaks. Furthermore, we prove the global stability of disease-free and endemic equilibria via the basic reproduction number as a forward bifurcation parameter. We also give a condition for epidemic prevalence only on a single subnetwork. Finally, we carry out numerical simulations and find that the independence between each node's in- and out-degrees significantly reduce the impact of the network's topological structure on disease spread. (C) 2019 Elsevier B.V. All rights reserved.									0	0	0	0	0	0			1007-5704	1878-7274		WOS:000467224400001		
J	Wang, Xinhe; Wang, Zhen; Shen, Hao								Dynamical analysis of a discrete-time SIS epidemic model on complex networks								APPLIED MATHEMATICS LETTERS				94				292	299		10.1016/j.aml.2019.03.011					AUG 2019	2019	In this letter, a discrete SIS (susceptible-infected-susceptible) epidemic model on complex networks is presented. Firstly, the non-negativity and the boundedness of solutions are studied. Secondly, the basic reproduction number R-0 is calculated. Thirdly, applying the Lyapunov direct method of difference equations, the global asymptotic stability of disease free equilibrium is investigated. Finally, there give some simulations. (C) 2019 Elsevier Ltd. All rights reserved.									2	0	0	0	0	2			0893-9659			WOS:000465061000043		
J	Zhang, Tianrui; Li, Pengdeng; Yang, Lu-Xing; Yang, Xiaofan; Tang, Yuan Yan; Wu, Yingbo					Yang, Lu-Xing/0000-0002-9229-5787			A discount strategy in word-of-mouth marketing								COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION				74				167	179		10.1016/j.cnsns.2019.03.015					JUL 30 2019	2019	This paper addresses the issue of discount pricing in word-of-mouth (WOM) marketing. First, we propose a novel discount strategy we refer to as the Influence-Based Discount (IBD) strategy, in which each buyer would enjoy a discount that is linearly proportional to his/her influence in the WOM network. For the purpose of evaluating the performance of an IBD strategy, we model the associated WOM spreading process as a higher-dimensional nonlinear differential dynamical system we refer to as the Dormant-Potential-Adopting (DPA) model. Next, we examine the dynamics of a DPA model through computer experiments. Thereby, we estimate the expected net profit of an IBD strategy and inspect how different factors influence this profit through numerical experiments. On this basis, we suggest some feasible promotional measures. (C) 2019 Elsevier B.V. All rights reserved.									0	0	0	0	0	0			1007-5704	1878-7274		WOS:000464529500011		
J	Peng, Xiao-Long; Zhang, Ze-Qiong; Yang, Junyuan; Jin, Zhen				Peng, Xiao-Long/A-2117-2015	Peng, Xiao-Long/0000-0002-1990-7986			An SIS epidemic model with vaccination in a dynamical contact network of mobile individuals with heterogeneous spatial constraints								COMMUNICATIONS IN NONLINEAR SCIENCE AND NUMERICAL SIMULATION				73				52	73		10.1016/j.cnsns.2019.02.004					JUL 15 2019	2019	Network-based epidemic models have been extensively employed to understand the spread of infectious diseases, but have generally overlooked the fact that most realistic networks are dynamical rather than static. In this paper, we study a susceptible-infected-susceptible epidemic model with vaccination in a dynamical contact network of moving individuals, where we regard mobile individuals as random walkers that are allowed to perform long-range jumps. Different from previous studies of epidemics in a random walk network with a constant interaction radius, we consider the scenario where the individuals have a heterogeneous distribution of interaction radius r and infected individuals are vaccinated with a probability depending on the interaction radius distribution. We derive the basic reproduction number R-0, which is strongly related to the interaction radius distribution and is proportional to the second order moment of interaction radius < r(2)> in the special case of a constant vaccination rate. We argue that if R-0 < 1 then the disease-free equilibrium is locally asymptotically stable, whereas if R-0 > 1 then there is a unique endemic equilibrium which is locally asymptotically stable and uniformly persistent. In addition, we provide a sufficient condition for the global stability of the disease-free equilibrium. Both theoretical and simulation results reveal that the distribution of individual interaction radius has significant effects on the basic reproduction number and the final epidemic prevalence. In general, the disease will break out more readily in the population with a more heterogeneous radius distribution, while it will end in a lower epidemic prevalence. Interestingly, the results suggest that an optimal vaccination intervention for disease prevention and control is achievable regardless of the radius distribution. Furthermore, some interesting results on the structure of the underlying contact network are shown to have strong correlation with the epidemic dynamics. This study provides potential implications for developing efficient containment measures against infectious disease while considering the spatial constraints of moving individuals. (C) 2019 Elsevier B.V. All rights reserved.									1	0	0	1	0	1			1007-5704	1878-7274		WOS:000464528400005		
J	Scabini, Leonardo F. S.; Condori, Rayner H. M.; Goncalves, Wesley N.; Bruno, Odemir M.								Multilayer complex network descriptors for color-texture characterization								INFORMATION SCIENCES				491				30	47		10.1016/j.ins.2019.02.060					JUL 2019	2019	A new method based on complex networks is proposed for color-texture analysis. The proposal consists of modeling the image as a multilayer complex network where each color channel is a layer, and each pixel (in each color channel) is represented as a network vertex. The network dynamic evolution is accessed using a set of modeling parameters (radii and thresholds), and new characterization techniques are introduced to capt information regarding within and between color channel spatial interaction. An automatic and adaptive approach for threshold selection is also proposed. We conduct classification experiments on 5 well-known datasets: Vistex, Usptex, Outexl3, CURet, and MBT. Results among various literature methods are compared, including deep convolutional neural networks. The proposed method presented the highest overall performance over the 5 datasets, with 97.7 of mean accuracy against 97.0 achieved by the ResNet convolutional neural network with 50 layers. (C) 2019 Published by Elsevier Inc.									0	0	0	0	0	0			0020-0255	1872-6291		WOS:000468717100003		
J	Zheng, Wei; Pan, Hao; Sun, Chen								A friendship-based altruistic incentive knowledge diffusion model in social networks								INFORMATION SCIENCES				491				138	150		10.1016/j.ins.2019.04.009					JUL 2019	2019	Knowledge diffusion is the main driving force behind technology innovation, economic development and social progress. Based on the fact that the people prefer to spread knowledge to their acquaintances, a friendship-based altruistic incentive knowledge diffusion model (SIH model) is proposed in this paper. In the model, we design an altruistic incentive mechanisms whereby an individual can benefit from his friends as the knowledge level increases. We derive mean-field equations to describe the dynamics of knowledge transmission in friendship networks. The theoretical analysis identifies a criterion for the persistence of the infected and the susceptible individuals. The simulations include two aspects: the density of individuals, and the performance of knowledge diffusion. The density results show that the cost rates between the infected and hesitant individuals have a significant effect on the rate of knowledge transmission. Additionally, the diffusion performance of regular networks is greater than small-world networks and scale-free networks in our diffusion mechanism. Furthermore, experiments are performed among three classes in two courses, and the average scores and standard deviations are compared. The results verify the positive effect of our approach. (C) 2019 Elsevier Inc. All rights reserved.									0	0	0	0	0	0			0020-0255	1872-6291		WOS:000468717100009		
J	Dong, Qingxing; Zhou, Xin; Martinez, Luis				Martinez, Luis/A-1746-2009	Martinez, Luis/0000-0003-4245-8813			A hybrid group decision making framework for achieving agreed solutions based on stable opinions								INFORMATION SCIENCES				490				227	243		10.1016/j.ins.2019.03.044					JUL 2019	2019	Polarization in a group's opinions drives to disagreements and dissent among individuals, which make it harder to achieve group satisfactory decisions. Within Group Decision Making (GDM) problems to soften disagreements, lots of consensus reaching processes (CRPs) have been proposed to converge opinions but rarely consider the existing dynamic relationships among the experts. Meanwhile, Opinion Dynamics studies the evolution of opinions based on the relationships existing among the group members by using Social Network Analysis (SNA). In real-world GDM problems the application of CRPs alone may not be enough to achieve the desired level of agreement when there is too much dissent among experts. In this paper, a novel framework is proposed that hybridizes both the process of making closer opinions realized by CRPs and the evolving relationships among experts based on SNA. This new framework addresses when it might be impossible to achieve the agreement through CRPs, which tries to achieve a potential consensus considering that if opinions are too polarized, maybe different stable opinions states are still suitable and easier to achieve by applying a SNA together with the CRP. This framework is further analyzed through simulation experiments for demonstrating its validity and some properties. (C) 2019 Elsevier Inc. All rights reserved.									0	0	0	0	0	0			0020-0255	1872-6291		WOS:000468011900013		
J	Giscard, Pierre-Louis; Kriege, Nils; Wilson, Richard C.								A General Purpose Algorithm for Counting Simple Cycles and Simple Paths of Any Length								ALGORITHMICA				81	7			2716	2737		10.1007/s00453-019-00552-1					JUL 2019	2019	We describe a general purpose algorithm for counting simple cycles and simple paths of any length on a (weighted di) graph on N vertices and M edges, achieving an asymptotic running time of O N + M + . + | S | . In this expression, | S | is the number of (weakly) connected induced subgraphs of G on at most vertices, is the maximum degree of any vertex and. is the exponent of matrix multiplication. We compare the algorithm complexity both theoretically and experimentally with most of the existing algorithms for the same task. These comparisons show that the algorithm described here is the best general purpose algorithm for the class of graphs where (.-1 -1 + 1)| S | = | Cycle |, with | Cycle | the total number of simple cycles of length atmost , including backtracks and self-loops. On Erd <spacing diaeresis> os-Renyi random graphs, we find empirically that this happens when the edge probability is larger than circa 4/ N. In addition, we show that some real-world networks also belong to this class. Finally, the algorithm permits the enumeration of simple cycles and simple paths on networks where vertices are labeled from an alphabet on n letters with an asymptotic running time of O N + M + n . + | S | . A Matlab implementation of the algorithm proposed here is available for download.									0	0	0	0	0	0			0178-4617	1432-0541		WOS:000467379400003		
J	Wang, Jie; Liang, Jiye; Zheng, Wenping; Zhao, Xingwang; Mu, Junfang								Protein complex detection algorithm based on multiple topological characteristics in PPI networks								INFORMATION SCIENCES				489				78	92		10.1016/j.ins.2019.03.015					JUL 2019	2019	Detecting protein complexes from available protein-protein interaction (PPI) networks is an important task, and several related algorithms have been proposed. These algorithms usually consider a single topological metric and ignore the rich topological characteristics and inherent organization information of protein complexes. However, the effective use of such information is crucial to protein complex detection. To overcome this deficiency, this study presents a heuristic clustering algorithm to identify protein complexes by fully exploiting the topological information of PPI networks. By considering the clustering coefficient and the node degree, a new nodal metric is proposed to quantify the importance of each node within a local subgraph. An iterative paradigm is used to incrementally identify seed proteins and expand each seed to a cluster. First, among the unclustered nodes, the node with the highest nodal metric is selected as a new seed. Then, the seed is expanded to a cluster by adding candidate nodes recursively from its neighbors according to both the density of the cluster and the connection between a candidate node and the cluster. The experimental results demonstrate that the proposed algorithm outperforms other competing algorithms in terms of F-measure and accuracy. (C) 2019 Elsevier Inc. All rights reserved.									0	0	0	0	0	0			0020-0255	1872-6291		WOS:000466255100006		
J	Liao, Hao; Liu, Ming-Kai; Mariani, Manuel Sebastian; Zhou, Mingyang; Wu, Xingtong								Temporal similarity metrics for latent network reconstruction: The role of time-lag decay								INFORMATION SCIENCES				489				182	192		10.1016/j.ins.2019.01.081					JUL 2019	2019	When investigating the spreading of a piece of information or the diffusion of an innovation, we often lack information on the underlying propagation network. Reconstructing the hidden propagation paths based on the observed diffusion process is a challenging problem which has recently attracted attention from diverse research fields. To address this reconstruction problem, based on static similarity metrics commonly used in the link prediction literature, we introduce new node-node temporal similarity metrics. The new metrics take as input the time-series of multiple independent spreading processes, based on the hypothesis that two nodes are more likely to be connected if they were often infected at similar points in time. This hypothesis is implemented by introducing a time-lag function which penalizes distant infection times. We find that the choice of this time-lag function strongly affects the metrics' reconstruction accuracy, depending on the network's clustering coefficient, and we provide an extensive comparative analysis of static and temporal similarity metrics for network reconstruction. Our findings shed new light on the notion of similarity between pairs of nodes in complex networks. (C) 2019 Published by Elsevier Inc.									0	0	0	0	0	0			0020-0255	1872-6291		WOS:000466255100012		
J	Baranwal, Mayank; Salapaka, Srinivasa								Clustering and supervisory voltage control in power systems								INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS				109				641	651		10.1016/j.ijepes.2019.02.025					JUL 2019	2019	In this paper, the problem of decomposing a large interconnected power network into smaller loosely-coupled zones in order to facilitate easy and flexible management of power transmission systems is addressed. This decomposition enables secondary level voltage control at regional levels and controlled islanding, which can be used to prevent the spreading of large-area blackouts. An electrical power transmission system is viewed as a fully-connected, weighted directed graph, where nodes and edge-weights of the graph represent buses and quantifications of electrical similarity between any two buses, respectively. Unlike impedance or admittance based similarity measures which are largely restrictive and do not account for topology of power networks, the electrical similarity between any two buses in this work is considered in terms of their influence over the remainder of the network. In particular, the electrical similarity between two buses is quantified in terms of the respective voltage fluctuations over all the buses in the network as a result of reactive power perturbations at these buses. Moreover, quantification of electrical influence does not have significant bearing on the computational complexity since it is computed using jacobians obtained as byproducts of solving power flow equations. The resulting directed graph is then clustered into prespecified number of zones that are weakly coupled electrically using a graph-theoretic clustering algorithm. A rule-based decentralized control strategy is proposed for effective management of bus voltages in the weakly coupled zones that are obtained as a result of the clustering process. The proposed approach is then tested on IEEE test systems for applications such as supervisory voltage control and islanding, and results in excellent identification of mutually decoupled sub-networks within a large power network.									0	0	0	0	0	0			0142-0615	1879-3517		WOS:000464090400054		
