PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Qin, Jianjun								Information-dependent seismic reliability assessment of bridge networks based on a correlation model								ENGINEERING STRUCTURES				176				314	323		10.1016/j.engstruct.2018.08.094					DEC 1 2018	2018	The focus of this study is the seismic reliability assessment of bridge networks, which is normally recognised with temporal and spatial variations similar to other engineered systems. The essence of such variation is that the assessment actually changes with available information. The relevant 'information' is clarified here and simply divided into two categories, i.e. the basic properties of the network together with the hazards and the real performance of part of the network. Correspondingly, approaches to an assessment with different categories of information are identified, and the framework for an information-dependent seismic reliability assessment is formulated. The basis for such information-dependent assessment is the description of the dependence structure of the seismic performance of bridges. Here, a correlation model that covers different aspects relevant to bridge performance is derived to play such role and is combined with the fragility analysis of individual bridges to realise the network reliability assessment and the importance measure of components in the priority of information collection. The proposed framework, together with the correlation model, is demonstrated in an example of a traffic network that connects 8 cities by highways with 12 standard reinforced-concrete overpass bridges in California.									0	0	0	0	0	0			0141-0296	1873-7323		WOS:000451497900026		
J	Bandyopadhyay, Antar; Kaur, Gursharn								LINEAR DE-PREFERENTIAL URN MODELS								ADVANCES IN APPLIED PROBABILITY				50	4			1176	1192		10.1017/apr.2018.55					DEC 2018	2018	In this paper we consider a new type of urn scheme, where the selection probabilities are proportional to a weight function, which is linear but decreasing in the proportion of existing colours. We refer to it as the de preferential urn scheme. We establish the almost-sure limit of the random configuration for any balanced replacement matrix R. In particular, we show that the limiting configuration is uniform on the set of colours if and only if R is a doubly stochastic matrix. We further establish the almost-sure limit of the vector of colour counts and prove central limit theorems for the random configuration as well as for the colour counts.									1	0	0	0	0	1			0001-8678	1475-6064		WOS:000451616400007		
J	Sun, Ruoxi; Ye, Jing; Tang, Ke; Zhang, Kai; Zhang, Xin; Ren, Yong								Big Data Aided Vehicular Network Feature Analysis and Mobility Models Design								MOBILE NETWORKS & APPLICATIONS				23	6	SI		1487	1495		10.1007/s11036-017-0981-z					DEC 2018	2018	Vehicular networks play a pivotal role in intelligent transportation system (ITS) and smart city (SC) construction, especially with the coming of 5G. Mobility models are crucial parts of vehicular network, especially for routing policy evaluation as well as traffic flow management. The big data aided vehicle mobility analysis and design attract researchers a lot with the acceleration of big data technology. Besides, complex network theory reveals the intrinsic temporal and spatial characteristics, considering the dynamic feature of vehicular network. In the following content, a big GPS dataset in Beijing, and its complex features verification are introduced. Some novel vehicle and location collaborative mobility schemes are proposed relying on the GPS dataset. We evaluate their performance in terms of complex features, such as duration distribution, interval time distribution and temporal and spatial characteristics. This paper elaborates upon mobility design and graph analysis of vehicular networks.									0	0	0	0	0	0			1383-469X	1572-8153		WOS:000452319900004		
J	Li, Wenjing; Hu, Dan; Liu, Yi					Hu, Dan/0000-0001-5860-3849			An improved measuring method for the information entropy of network topology								TRANSACTIONS IN GIS				22	6			1632	1648		10.1111/tgis.12487					DEC 2018	2018	The measurement of network topologies is of great significance to the multi-scale expression and generalization of maps. The problem encountered in existing metrics is whether to use the approach of measuring a single type of information or measuring the overall information; however, redundancy can be calculated. In view of these problems, this article selects three types of information metrics that express compactness, heterogeneity, and discreteness in a network topology. The measurement model has been simplified, and the calculation has been improved. By comparing various methods and measuring the information entropy of area road networks, the simplicity and validity of the improved method are verified.									0	0	0	0	0	0			1361-1682	1467-9671		WOS:000452872300015		
J	Liao, Chien Hsiang; Chen, Mu-Yen					Chen, Mu-Yen/0000-0002-3945-4363			Exploring knowledge patterns of library and information science journals within the field: a citation analysis from 2009 to 2016								SCIENTOMETRICS				117	3			1991	2008		10.1007/s11192-018-2925-1					DEC 2018	2018	A substantial number of studies have examined the journal quality and ranked them using academic survey, scientometric indicator, or citation analysis. This study aims to investigate library and information science (LIS) journal impact from a different perspective: the knowledge contribution to peer journals in the LIS field. The data are selected from the SSCI and SCI databases by Thomson Reuters from 2009 to 2016. Based on the criterion that the journal has at least 6years of citation data, a total of 26 LIS-related journals were selected for this study. These journals are divided into four quadrants according to their knowledge impact on peer journals. This study not only uses social network analysis to investigate the citation patterns among the journals and rank the journals based on different structural characteristics in the network but also examines the formation of subfields through clustering analysis. The findings suggest research avenues for LIS scholars and journal editors, such as identifying research subgroups and formulating strategies for LIS journal development.									0	0	0	0	0	0			0138-9130	1588-2861		WOS:000451754600030		
J	Jiang, Fan; Liu, Niancai								The hierarchical status of international academic awards in social sciences								SCIENTOMETRICS				117	3			2091	2115		10.1007/s11192-018-2928-y					DEC 2018	2018	International academic awards are not only compelling signs of personal academic excellence, but also play a significant role in evaluating the performance of institutions and countries. However, limited literature about awards in social sciences means that many major international academic awards are still unrecognized. Here we collect 180 international academic awards in eight subjects and gauge their relative reputations through online surveys. Moreover, we visualize the awards network based on the relative reputation scores and the number of co-awardees among them by using Gephi software. Finally, we adopt a statistical approach to analyze the structure of the awards network and find that the co-awardee frequencies follow a power-law distribution, which indicates that the awards network is a scale-free network. Our result suggests that a hierarchical status exists among international academic awards in social sciences, which may help us enhance the understanding of the Matthew effect in the academic awards system.									0	0	0	0	0	0			0138-9130	1588-2861		WOS:000451754600037		
J	Huang, Yong; Bu, Yi; Ding, Ying; Lu, Wei								Number versus structure: towards citing cascades								SCIENTOMETRICS				117	3			2177	2193		10.1007/s11192-018-2952-y					DEC 2018	2018	This paper proposes a novel concept of the citing cascade, defined as a network comprising citing relationships between a paper and its citing paper, as well as those among its citing papers. Compared with citation counts using a single number, citing cascades reveal the structural information of citation networks of a scientific publication and thus help us better understand the citation impact of a scientific publication (called the owner of the citing cascade). We then define and elaborate on several basic and advanced properties of citing cascades. By employing computer science publication records in the Microsoft Academic Graph dataset, we found that cascade size, edge count, in-degree, and out-degree all follow typical power law distributions with various exponential parameters (). In addition, cascade depth is observed to follow an exponential distribution. We also examine the relation between citation count of the owner and some advanced properties that we defined. Many related future studies are also illustrated at the end of this paper.									0	0	0	0	0	0			0138-9130	1588-2861		WOS:000451754600043		
J	Wegner, Anatol E.; Ospina-Forero, Luis; Gaunt, Robert E.; Deane, Charlotte M.; Reinert, Gesine					Deane, Charlotte/0000-0003-1388-2252; Ospina-Forero, Luis/0000-0003-2941-6336			Identifying networks with common organizational principles								JOURNAL OF COMPLEX NETWORKS				8	6			887	913		10.1093/comnet/cny003					DEC 2018	2018	Many complex systems can be represented as networks, and the problem of network comparison is becoming increasingly relevant. There are many techniques for network comparison, from simply comparing network summary statistics to sophisticated but computationally costly alignment-based approaches. Yet it remains challenging to accurately cluster networks that are of a different size and density, but hypothesized to be structurally similar. In this article, we address this problem by introducing a new network comparison methodology that is aimed at identifying common organizational principles in networks. The methodology is simple, intuitive and applicable in a wide variety of settings ranging from the functional classification of proteins to tracking the evolution of a world trade network.									1	0	0	0	0	1			2051-1310	2051-1329		WOS:000452655400004		
J	Ribeiro, Haroldo, V; Alves, Luiz G. A.; Martins, Alvaro F.; Lenzi, Ervin K.; Perc, Matjaz				Alves, Luiz/H-3389-2013; Perc, Matjaz/A-5148-2009	Alves, Luiz/0000-0001-6204-5552; Perc, Matjaz/0000-0002-3087-541X			The dynamical structure of political corruption networks								JOURNAL OF COMPLEX NETWORKS				8	6			989	1003		10.1093/comnet/cny002					DEC 2018	2018	Corruptive behaviour in politics limits economic growth, embezzles public funds and promotes socioeconomic inequality in modern democracies. We analyse well-documented political corruption scandals in Brazil over the past 27 years, focusing on the dynamical structure of networks where two individuals are connected if they were involved in the same scandal. Our research reveals that corruption runs in small groups that rarely comprise more than eight people, in networks that have hubs and a modular structure that encompasses more than one corruption scandal. We observe abrupt changes in the size of the largest connected component and in the degree distribution, which are due to the coalescence of different modules when new scandals come to light or when governments change. We show further that the dynamical structure of political corruption networks can be used for successfully predicting partners in future scandals. We discuss the important role of network science in detecting and mitigating political corruption.									4	0	0	2	0	4			2051-1310	2051-1329		WOS:000452655400009		
J	Du, Wenbo; Zhang, Mingyuan; Ying, Wen; Perc, Matjaz; Tang, Ke; Cao, Xianbin; Wu, Dapeng				Perc, Matjaz/A-5148-2009	Perc, Matjaz/0000-0002-3087-541X			The networked evolutionary algorithm: A network science perspective								APPLIED MATHEMATICS AND COMPUTATION				338				33	43		10.1016/j.amc.2018.06.002					DEC 1 2018	2018	The evolutionary algorithm is one of the most popular and effective methods to solve complex non-convex optimization problems in different areas of research. In this paper, we systematically explore the evolutionary algorithm as a networked interaction system, where nodes represent information process units and connections denote information transmission links. Within this networked evolutionary algorithm framework, we analyze the effects of structure and information fusion strategies, and further implement it in three typical evolutionary algorithms, namely in the genetic algorithm, the particle swarm optimization algorithm, and in the differential evolution algorithm. Our results demonstrate that the networked evolutionary algorithm framework can significantly improve the performance of these evolutionary algorithms. Our work bridges two traditionally separate areas, evolutionary algorithms and network science, in the hope that it promotes the development of both. (C) 2018 Elsevier Inc. All rights reserved.									4	0	0	0	0	4			0096-3003	1873-5649		WOS:000441871500004		
